Alabama
  Autauga County, AL (fips:01001)
                                McSally, Martha (GOP)       6870
                                Sinema, Kyrsten (Dem)       3368
  Greenlee County, AZ (fips:04011)
    G-AZ                            Ducey, Doug (GOP)       1637
                                  Garcia, David (Dem)        832
                                  Torres, Angel (Grn)         80
    H-AZ-01                     O'Halleran, Tom (Dem)       1160
                                  Rogers, Wendy (GOP)       1379
    S-AZ                          Green, Angela (Grn)        108
                                McSally, Martha (GOP)       1416
                                Sinema, Kyrsten (Dem)       1042
  La Paz County, AZ (fips:04012)
    G-AZ                            Ducey, Doug (GOP)       3431
                                  Garcia, David (Dem)       1015
                                  Torres, Angel (Grn)        113
    H-AZ-04                        Brill, David (Dem)       1261
                                    Gosar, Paul (GOP)       3146
                              Knauer, Haryaksha (Grn)         69
    S-AZ                          Green, Angela (Grn)        166
                                McSally, Martha (GOP)       2905
                                Sinema, Kyrsten (Dem)       1455
  Maricopa County, AZ (fips:04013)
    G-AZ                            Ducey, Doug (GOP)     726783
                                  Garcia, David (Dem)     542034
                                  Torres, Angel (Grn)      26088
    H-AZ-01                     O'Halleran, Tom (Dem)        284
                                  Rogers, Wendy (GOP)         44
    H-AZ-03                      Grijalva, Raul (Dem)      30550
                                  Pierson, Nick (GOP)      22954
    H-AZ-04                        Brill, David (Dem)       6130
                                    Gosar, Paul (GOP)      13399
                              Knauer, Haryaksha (Grn)        209
    H-AZ-05                         Biggs, Andy (GOP)     168488
                                   Greene, Joan (Dem)     115078
    H-AZ-06                        Malik, Anita (Dem)     127510
                              Schweikert, David (GOP)     157996
    H-AZ-07                      Gallego, Ruben (Dem)      99713
                                    Swing, Gary (Grn)      16626
    H-AZ-08                       Lesko, Debbie (GOP)     154086
                               Tipirneni, Hiral (Dem)     123199
    H-AZ-09                      Ferrara, Steve (GOP)      91432
                                  Stanton, Greg (Dem)     142308
    S-AZ                          Green, Angela (Grn)      28307
                                McSally, Martha (GOP)     611161
                                Sinema, Kyrsten (Dem)     659540
  Mohave County, AZ (fips:04015)
    G-AZ                            Ducey, Doug (GOP)      56024
                                  Garcia, David (Dem)      13419
                                  Torres, Angel (Grn)       1308
    H-AZ-01                     O'Halleran, Tom (Dem)        180
                                  Rogers, Wendy (GOP)         75
    H-AZ-04                        Brill, David (Dem)      16695
                                    Gosar, Paul (GOP)      51860
                              Knauer, Haryaksha (Grn)        968
    S-AZ                          Green, Angela (Grn)       1991
                                McSally, Martha (GOP)      49594
                                Sinema, Kyrsten (Dem)      19027
  Navajo County, AZ (fips:04017)
    G-AZ                            Ducey, Doug (GOP)      21877
                                  Garcia, David (Dem)      13645
                                  Torres, Angel (Grn)       1055
    H-AZ-01                     O'Halleran, Tom (Dem)      18017
                                  Rogers, Wendy (GOP)      18328
    S-AZ                          Green, Angela (Grn)       1238
                                McSally, Martha (GOP)      18764
                                Sinema, Kyrsten (Dem)      16623
  Pima County, AZ (fips:04019)
    G-AZ                            Ducey, Doug (GOP)     175460
                                  Garcia, David (Dem)     181738
                                  Torres, Angel (Grn)       7921
    H-AZ-01                     O'Halleran, Tom (Dem)      23419
                                  Rogers, Wendy (GOP)      27395
    H-AZ-02                    Kirkpatrick, Ann (Dem)     133978
                          Marquez Peterson, Lea (GOP)     101599
    H-AZ-03                      Grijalva, Raul (Dem)      50953
                                  Pierson, Nick (GOP)      24120
    S-AZ                          Green, Angela (Grn)       7935
                                McSally, Martha (GOP)     152340
                                Sinema, Kyrsten (Dem)     206610
  Pinal County, AZ (fips:04021)
    G-AZ                            Ducey, Doug (GOP)      71794
                                  Garcia, David (Dem)      36394
                                  Torres, Angel (Grn)       2561
    H-AZ-01                     O'Halleran, Tom (Dem)      28642
                                  Rogers, Wendy (GOP)      29093
    H-AZ-03                      Grijalva, Raul (Dem)         96
                                  Pierson, Nick (GOP)          3
    H-AZ-04                        Brill, David (Dem)      18397
                                    Gosar, Paul (GOP)      32870
                              Knauer, Haryaksha (Grn)        733
    S-AZ                          Green, Angela (Grn)       2994
                                McSally, Martha (GOP)      60702
                                Sinema, Kyrsten (Dem)      47537
  Santa Cruz County, AZ (fips:04023)
    G-AZ                            Ducey, Doug (GOP)       4791
                                  Garcia, David (Dem)       8404
                                  Torres, Angel (Grn)        261
    H-AZ-03                      Grijalva, Raul (Dem)       9106
                                  Pierson, Nick (GOP)       4313
    S-AZ                          Green, Angela (Grn)        417
                                McSally, Martha (GOP)       3827
                                Sinema, Kyrsten (Dem)       9239
  Yavapai County, AZ (fips:04025)
    G-AZ                            Ducey, Doug (GOP)      73417
                                  Garcia, David (Dem)      31843
                                  Torres, Angel (Grn)       2004
    H-AZ-01                     O'Halleran, Tom (Dem)       7914
                                  Rogers, Wendy (GOP)       6965
    H-AZ-04                        Brill, David (Dem)      30554
                                    Gosar, Paul (GOP)      59645
                              Knauer, Haryaksha (Grn)       1180
    S-AZ                          Green, Angela (Grn)       2830
                                McSally, Martha (GOP)      64663
                                Sinema, Kyrsten (Dem)      39757
  Yuma County, AZ (fips:04027)
    G-AZ                            Ducey, Doug (GOP)      23616
                                  Garcia, David (Dem)      18741
                                  Torres, Angel (Grn)        830
    H-AZ-03                      Grijalva, Raul (Dem)      14213
                                  Pierson, Nick (GOP)       9139
    H-AZ-04                        Brill, David (Dem)       5721
                                    Gosar, Paul (GOP)      13469
                              Knauer, Haryaksha (Grn)        212
    S-AZ                          Green, Angela (Grn)       1334
                                McSally, Martha (GOP)      22189
                                Sinema, Kyrsten (Dem)      19512
Arkansas
  Arkansas County, AR (fips:05001)
    G-AR                       Henderson, Jared (Dem)       1352
                                Hutchinson, Asa (GOP)       3530
                                     West, Mark (Lib)         77
    H-AR-01                      Crawford, Rick (GOP)       3428
                                 Desai, Chintan (Dem)       1403
                                 Presley, Elvis (Lib)         86
  Ashley County, AR (fips:05003)
    G-AR                       Henderson, Jared (Dem)       1739
                                Hutchinson, Asa (GOP)       4294
                                     West, Mark (Lib)        140
    H-AR-04                         Canada, Tom (Lib)         83
                                 Shamel, Hayden (Dem)       1888
                               Westerman, Bruce (GOP)       4140
  Baxter County, AR (fips:05005)
    G-AR                       Henderson, Jared (Dem)       2965
                                Hutchinson, Asa (GOP)      10681
                                     West, Mark (Lib)        678
    H-AR-01                      Crawford, Rick (GOP)      10700
                                 Desai, Chintan (Dem)       3175
                                 Presley, Elvis (Lib)        354
  Benton County, AR (fips:05007)
    G-AR                       Henderson, Jared (Dem)      21820
                                Hutchinson, Asa (GOP)      52673
                                     West, Mark (Lib)       1996
    H-AR-03                   Kalagias, Michael (Lib)       2126
                                   Mahony, Josh (Dem)      23294
                                  Womack, Steve (GOP)      50977
  Boone County, AR (fips:05009)
    G-AR                       Henderson, Jared (Dem)       2206
                                Hutchinson, Asa (GOP)       9026
                                     West, Mark (Lib)        386
